Member_number,Date,itemDescription
1167,16-02-2015,domestic eggs
4031,14-01-2015,other vegetables
2946,24-05-2015,napkins
2672,09-03-2015,liquor (appetizer)
3529,05-03-2015,pork
3986,18-11-2015,citrus fruit
3312,29-07-2015,whole milk
2392,15-12-2015,butter
1756,03-03-2015,other vegetables
2875,01-11-2015,soda
3871,31-07-2015,tropical fruit
4512,21-12-2015,beef
2426,26-08-2015,chewing gum
3728,04-10-2015,ice cream
1093,28-03-2015,domestic eggs
3322,25-04-2015,citrus fruit
1386,31-07-2015,soda
3429,10-05-2015,sparkling wine
1932,07-09-2015,pip fruit
1865,03-12-2015,butter milk
4672,13-02-2015,other vegetables
4432,28-05-2015,female sanitary products
2129,11-08-2015,pork
1104,18-03-2015,yogurt
3529,13-09-2015,beverages
3271,27-12-2015,yogurt
1002,30-08-2015,specialty chocolate
2184,09-06-2015,misc. beverages
4648,08-10-2015,yogurt
3595,15-10-2015,zwieback
2752,10-10-2015,berries
4101,30-04-2015,red/blush wine
1793,04-12-2015,berries
4224,04-10-2015,pastry
2846,15-08-2015,instant coffee
1697,23-02-2015,other vegetables
3884,07-04-2015,rolls/buns
2669,24-09-2015,onions
4843,25-02-2015,yogurt
1663,11-11-2015,tropical fruit
4169,19-03-2015,canned beer
2799,25-05-2015,yogurt
2178,20-12-2015,female sanitary products
3312,24-12-2015,brown bread
3609,11-07-2015,liquor
1004,02-12-2015,hygiene articles
2401,15-01-2015,white bread
4165,10-02-2015,roll products 
2017,14-02-2015,chocolate
2485,18-05-2015,dog food
2261,18-06-2015,packaged fruit/vegetables
1437,15-08-2015,coffee
4065,11-05-2015,other vegetables
1904,18-04-2015,yogurt
4573,28-05-2015,packaged fruit/vegetables
4233,16-06-2015,coffee
3928,26-09-2015,domestic eggs
4916,25-01-2015,newspapers
2883,16-04-2015,yogurt
2938,25-06-2015,tropical fruit
1063,23-01-2015,candy
3365,28-06-2015,other vegetables
2795,06-05-2015,white bread
1336,04-04-2015,frozen meals
2937,31-07-2015,other vegetables
3391,21-12-2015,coffee
3719,04-06-2015,beverages
3986,26-05-2015,citrus fruit
2757,15-02-2015,white bread
1783,07-07-2015,UHT-milk
4234,02-08-2015,rolls/buns
3484,05-08-2015,rolls/buns
3337,10-01-2015,yogurt
2472,17-01-2015,processed cheese
1355,25-02-2015,sugar
3072,08-06-2015,ham
1817,21-08-2015,hamburger meat
2063,10-09-2015,soups
4216,28-04-2015,pork
2984,24-02-2015,mustard
3365,25-10-2015,domestic eggs
2260,27-06-2015,soda
4798,24-08-2015,cream cheese 
4952,22-10-2015,soda
4778,24-01-2015,packaged fruit/vegetables
1517,01-03-2015,bottled beer
2433,31-07-2015,whole milk
3938,31-07-2015,other vegetables
2569,30-06-2015,beverages
2092,24-05-2015,rum
3174,09-02-2015,frozen dessert
4513,04-11-2015,dishes
2467,04-02-2015,liquor
3508,25-07-2015,curd
1939,02-07-2015,tropical fruit
1636,04-05-2015,whole milk
2443,12-01-2015,pastry
4911,07-01-2015,rolls/buns
3835,16-09-2015,pickled vegetables
2363,22-05-2015,pastry
2344,19-04-2015,other vegetables
3911,15-02-2015,pet care
1450,08-07-2015,coffee
3495,18-11-2015,whole milk
1625,27-11-2015,root vegetables
3265,09-12-2015,packaged fruit/vegetables
3247,01-11-2015,sliced cheese
1777,08-07-2015,fruit/vegetable juice
1862,05-09-2015,napkins
2942,01-02-2015,whole milk
2932,22-01-2015,whole milk
4049,01-08-2015,citrus fruit
1954,06-08-2015,onions
2321,16-06-2015,long life bakery product
2930,23-03-2015,pastry
3214,27-03-2015,brown bread
4877,20-06-2015,sliced cheese
1277,07-06-2015,white bread
2239,13-12-2015,canned fruit
4929,26-03-2015,bottled water
1390,02-03-2015,dental care
1870,09-09-2015,popcorn
3405,03-04-2015,canned fish
2338,08-12-2015,curd
2051,11-09-2015,pip fruit
3504,06-07-2015,sugar
3405,13-04-2015,whole milk
2512,02-09-2015,fruit/vegetable juice
4038,06-11-2015,processed cheese
1759,26-09-2015,whole milk
2813,01-10-2015,cake bar
3055,18-08-2015,soda
1733,18-03-2015,yogurt
1913,18-08-2015,curd
4864,27-03-2015,hygiene articles
4812,27-05-2015,whole milk
3042,05-10-2015,frozen meals
4988,04-10-2015,make up remover
4486,21-07-2015,bottled beer
4069,03-05-2015,soda
4600,14-07-2015,fruit/vegetable juice
3588,05-05-2015,seasonal products
4175,29-01-2015,other vegetables
2599,30-07-2015,cake bar
4671,15-07-2015,instant coffee
2270,09-06-2015,long life bakery product
2494,05-05-2015,canned fish
1406,28-12-2015,misc. beverages
3910,18-12-2015,rolls/buns
3358,21-02-2015,whole milk
1943,14-01-2015,whole milk
1995,12-06-2015,rolls/buns
4666,24-02-2015,long life bakery product
1994,11-03-2015,waffles
4892,09-01-2015,cat food
3531,29-08-2015,canned beer
1148,15-04-2015,white bread
1787,31-10-2015,whole milk
4215,31-05-2015,mustard
2158,01-08-2015,whole milk
2510,29-09-2015,cling film/bags
3180,19-10-2015,tropical fruit
3207,08-08-2015,chocolate
1226,12-11-2015,soda
1682,25-06-2015,domestic eggs
1509,04-11-2015,yogurt
2364,21-06-2015,onions
4679,10-11-2015,pastry
4324,05-01-2015,whole milk
3497,14-06-2015,yogurt
1008,21-07-2015,yogurt
4572,29-10-2015,coffee
4030,04-07-2015,domestic eggs
2422,12-08-2015,white bread
2694,24-11-2015,hard cheese
3481,03-08-2015,curd
3821,03-01-2015,herbs
3752,20-08-2015,soda
3262,08-12-2015,yogurt
1370,28-06-2015,newspapers
1090,31-08-2015,yogurt
3862,18-11-2015,rolls/buns
4495,08-04-2015,domestic eggs
2492,01-11-2015,other vegetables
4688,01-08-2015,canned beer
3633,14-07-2015,brown bread
3709,08-08-2015,yogurt
1220,09-02-2015,rice
4236,25-11-2015,brown bread
3308,19-08-2015,soft cheese
1183,12-06-2015,cream cheese 
1999,24-08-2015,shopping bags
4828,11-10-2015,canned beer
3608,12-10-2015,other vegetables
3983,09-09-2015,butter
3460,24-07-2015,canned vegetables
1703,21-02-2015,canned beer
3002,13-08-2015,coffee
4836,17-08-2015,specialty chocolate
1561,05-06-2015,flower (seeds)
4731,04-04-2015,napkins
3812,13-11-2015,whole milk
2097,01-10-2015,newspapers
4986,28-01-2015,frozen meals
4742,15-11-2015,tropical fruit
2502,15-04-2015,sauces
1135,10-07-2015,soda
2403,14-02-2015,pip fruit
4234,17-07-2015,canned vegetables
4068,11-12-2015,butter
2311,30-06-2015,domestic eggs
1353,21-01-2015,tropical fruit
3251,05-07-2015,chocolate
1748,08-03-2015,beverages
1638,12-03-2015,candles
2170,10-02-2015,frozen potato products
3903,06-02-2015,dessert
1245,27-06-2015,canned fruit
3237,28-06-2015,frozen vegetables
2843,12-10-2015,onions
3095,13-10-2015,whole milk
4076,22-05-2015,detergent
1298,23-06-2015,soda
4591,13-06-2015,onions
3592,28-10-2015,canned beer
1305,23-05-2015,white wine
4326,06-11-2015,liquor
3189,03-02-2015,root vegetables
1991,10-02-2015,specialty bar
2091,02-08-2015,candy
3100,06-03-2015,waffles
4984,26-04-2015,yogurt
4444,06-10-2015,root vegetables
4678,17-12-2015,whole milk
1670,22-11-2015,pickled vegetables
3214,14-01-2015,whipped/sour cream
2772,18-03-2015,soft cheese
4343,21-12-2015,brown bread
4351,21-08-2015,prosecco
1598,02-03-2015,white bread
4469,18-10-2015,root vegetables
1788,05-12-2015,citrus fruit
3768,01-08-2015,root vegetables
4661,01-03-2015,rolls/buns
3801,17-08-2015,tropical fruit
4109,04-10-2015,pip fruit
2485,24-03-2015,dessert
2365,11-06-2015,yogurt
2602,08-02-2015,tropical fruit
2391,05-12-2015,other vegetables
3483,08-09-2015,hard cheese
2512,31-01-2015,cream cheese 
2652,01-08-2015,pastry
1777,03-12-2015,pip fruit
4007,23-12-2015,white bread
2653,17-04-2015,candy
2703,21-09-2015,canned beer
4322,14-11-2015,yogurt
2270,04-02-2015,dish cleaner
2306,09-10-2015,grapes
1539,27-09-2015,whipped/sour cream
2517,12-12-2015,syrup
3254,19-10-2015,soda
1711,21-03-2015,citrus fruit
2560,07-06-2015,frozen meals
4891,06-10-2015,whole milk
1622,12-02-2015,tropical fruit
1028,02-06-2015,canned beer
1416,22-08-2015,zwieback
1037,16-12-2015,yogurt
4293,23-04-2015,whole milk
3054,09-04-2015,whole milk
4467,23-04-2015,pork
4811,02-11-2015,rolls/buns
4749,15-02-2015,root vegetables
1825,21-11-2015,baking powder
4685,19-07-2015,whole milk
3621,14-07-2015,bottled water
3219,04-08-2015,other vegetables
1444,29-12-2015,other vegetables
1698,22-07-2015,yogurt
3328,15-04-2015,napkins
3704,30-04-2015,white wine
4124,09-09-2015,mustard
4357,10-10-2015,brown bread
2073,30-04-2015,canned fish
4192,12-09-2015,coffee
3890,26-10-2015,white bread
3147,24-12-2015,vinegar
4550,30-01-2015,other vegetables
3183,07-08-2015,rolls/buns
1878,17-10-2015,onions
2523,12-02-2015,margarine
2227,20-06-2015,whole milk
2267,26-02-2015,oil
4806,27-10-2015,tropical fruit
2422,11-11-2015,misc. beverages
1164,30-03-2015,root vegetables
3096,23-06-2015,yogurt
1821,21-05-2015,napkins
2298,06-10-2015,newspapers
4515,10-05-2015,yogurt
3079,10-03-2015,soda
3352,13-06-2015,sugar
1545,17-10-2015,frozen vegetables
2999,03-08-2015,butter milk
1230,19-11-2015,pastry
2578,25-01-2015,tropical fruit
4611,27-08-2015,whole milk
3575,24-01-2015,whole milk
2517,29-09-2015,salt
2471,19-03-2015,onions
2560,19-06-2015,bottled water
4492,14-06-2015,frozen meals
1217,18-02-2015,dog food
2950,10-10-2015,bottled water
4337,26-10-2015,tropical fruit
2599,27-01-2015,curd
2924,19-11-2015,yogurt
3734,05-09-2015,rolls/buns
3985,24-07-2015,canned beer
1823,11-11-2015,pastry
1722,27-08-2015,pastry
3818,29-03-2015,curd
4924,11-06-2015,other vegetables
3194,03-05-2015,UHT-milk
2156,07-08-2015,pip fruit
3182,05-05-2015,rice
2902,16-08-2015,whole milk
3450,24-12-2015,shopping bags
4262,11-09-2015,pip fruit
1276,28-08-2015,cream cheese 
2184,23-01-2015,rolls/buns
1670,30-06-2015,pork
1198,31-01-2015,specialty chocolate
1858,25-01-2015,butter milk
1404,16-01-2015,canned beer
2899,09-11-2015,fruit/vegetable juice
2057,13-11-2015,soda
2799,27-02-2015,pickled vegetables
4913,01-08-2015,other vegetables
2413,26-06-2015,rolls/buns
4819,20-09-2015,soda
3014,15-07-2015,berries
1419,07-04-2015,hygiene articles
2589,29-04-2015,fruit/vegetable juice
3648,02-06-2015,soda
1349,13-12-2015,hard cheese
2706,03-10-2015,newspapers
1144,16-01-2015,domestic eggs
1275,07-05-2015,butter
1851,11-07-2015,mayonnaise
2305,28-09-2015,whole milk
1905,18-10-2015,onions
3732,06-12-2015,salty snack
2724,30-04-2015,specialty chocolate
3245,19-03-2015,beverages
2005,20-04-2015,yogurt
4643,10-08-2015,photo/film
2538,27-07-2015,seasonal products
1173,07-02-2015,fruit/vegetable juice
1703,15-02-2015,bottled water
3347,24-01-2015,ice cream
1561,25-07-2015,domestic eggs
1632,27-08-2015,napkins
2995,18-02-2015,shopping bags
1318,26-09-2015,specialty bar
1133,26-02-2015,rolls/buns
2357,03-08-2015,specialty cheese
4007,13-03-2015,bottled water
2383,02-01-2015,yogurt
3128,30-08-2015,bottled beer
1372,25-04-2015,white bread
1839,16-08-2015,waffles
3567,17-02-2015,nut snack
3573,03-04-2015,root vegetables
3765,12-06-2015,soda
2875,12-03-2015,soda
3737,21-11-2015,chocolate
3535,28-02-2015,rolls/buns
4288,13-11-2015,whipped/sour cream
1334,07-03-2015,bottled beer
2046,28-02-2015,bottled water
1922,07-10-2015,beverages
2184,19-09-2015,bottled beer
2632,23-09-2015,pot plants
2108,01-10-2015,tropical fruit
2547,24-11-2015,pet care
4720,12-02-2015,curd
4008,19-05-2015,root vegetables
1438,28-11-2015,UHT-milk
3027,14-09-2015,root vegetables
1342,07-01-2015,frozen vegetables
4952,26-08-2015,pastry
1218,20-08-2015,rolls/buns
4804,19-11-2015,whole milk
3319,17-11-2015,salty snack
2459,22-09-2015,canned beer
1123,31-01-2015,rolls/buns
1827,01-07-2015,soda
4769,20-09-2015,grapes
3769,27-02-2015,grapes
4713,28-01-2015,bottled beer
1741,20-12-2015,napkins
4238,12-12-2015,packaged fruit/vegetables
4051,28-01-2015,whole milk
4960,19-08-2015,root vegetables
4602,26-08-2015,frozen vegetables
3549,12-02-2015,tropical fruit
2746,29-05-2015,soups
2444,17-06-2015,curd
3196,04-11-2015,tropical fruit
4672,05-11-2015,UHT-milk
3308,08-03-2015,butter
3328,16-08-2015,butter milk
4923,23-09-2015,soups
2981,11-05-2015,chocolate
3615,02-09-2015,newspapers
1620,22-03-2015,frozen dessert
2583,15-02-2015,tropical fruit
1362,06-10-2015,whole milk
2462,08-01-2015,pastry
3198,23-06-2015,pip fruit
3296,22-05-2015,packaged fruit/vegetables
3447,03-09-2015,whole milk
4001,30-03-2015,candy
2082,21-06-2015,pastry
1679,08-12-2015,rolls/buns
3605,05-04-2015,rolls/buns
3762,04-01-2015,dessert
2375,03-09-2015,pork
1617,30-03-2015,soda
3399,09-04-2015,other vegetables
1570,15-03-2015,yogurt
1583,24-03-2015,liquor
3348,05-12-2015,whole milk
1427,10-01-2015,soda
3041,27-08-2015,shopping bags
1661,08-11-2015,white wine
1076,12-06-2015,butter
3545,29-09-2015,berries
3593,10-09-2015,whole milk
3891,16-02-2015,newspapers
2115,18-11-2015,soda
2480,26-03-2015,yogurt
1532,20-06-2015,citrus fruit
2530,13-06-2015,yogurt
1803,12-05-2015,yogurt
2604,20-09-2015,bottled water
3595,21-03-2015,cream cheese 
1442,30-03-2015,butter
1515,09-11-2015,soda
2899,24-11-2015,cling film/bags
1845,07-08-2015,root vegetables
4334,28-04-2015,candy
3885,13-04-2015,seasonal products
1474,02-06-2015,cream cheese 
4783,21-02-2015,whipped/sour cream
1379,06-02-2015,onions
4217,17-06-2015,soda
4281,14-09-2015,soda
2690,01-05-2015,other vegetables
2543,23-05-2015,dessert
2300,28-04-2015,white wine
4302,05-04-2015,napkins
1930,15-11-2015,candy
2834,02-12-2015,yogurt
2307,26-05-2015,hygiene articles
3894,25-01-2015,root vegetables
1467,20-08-2015,pickled vegetables
3952,30-10-2015,brown bread
3016,01-12-2015,long life bakery product
2118,18-07-2015,pot plants
1940,14-02-2015,beef
1430,04-09-2015,yogurt
2738,11-04-2015,whole milk
1565,30-11-2015,shopping bags
4755,27-12-2015,rolls/buns
1410,08-11-2015,soda
3829,02-08-2015,beef
3086,04-04-2015,shopping bags
4780,09-06-2015,brown bread
4085,29-09-2015,newspapers
3236,26-01-2015,herbs
2040,31-05-2015,tropical fruit
2370,04-02-2015,ice cream
4249,27-02-2015,UHT-milk
2836,14-08-2015,butter milk
1220,01-01-2015,margarine
3520,02-01-2015,canned beer
2566,31-01-2015,pastry
2655,05-01-2015,pastry
4147,18-04-2015,flour
3364,30-08-2015,specialty chocolate
2370,14-01-2015,bottled beer
3809,08-02-2015,dog food
3744,06-11-2015,misc. beverages
1588,19-01-2015,beverages
4304,01-02-2015,pip fruit
2240,20-09-2015,chocolate
3175,05-06-2015,other vegetables
1231,27-10-2015,sliced cheese
3599,11-06-2015,beverages
3738,01-04-2015,yogurt
1593,08-08-2015,rolls/buns
1319,10-01-2015,rice
2105,21-01-2015,tropical fruit
2056,03-07-2015,bottled water
3139,21-04-2015,onions
1098,19-01-2015,shopping bags
2601,22-10-2015,margarine
2694,19-06-2015,bottled beer
4524,26-12-2015,root vegetables
1165,13-04-2015,packaged fruit/vegetables
3705,07-09-2015,root vegetables
1634,28-05-2015,bottled water
2030,04-09-2015,soda
4989,19-06-2015,mustard
1715,04-07-2015,white wine
4552,13-08-2015,domestic eggs
1303,29-03-2015,whole milk
1430,09-02-2015,hamburger meat
4559,12-05-2015,yogurt
3848,18-11-2015,shopping bags
2162,19-06-2015,pot plants
3719,17-12-2015,other vegetables
3153,28-04-2015,newspapers
4462,02-04-2015,rolls/buns
2420,27-09-2015,hard cheese
3971,17-06-2015,hamburger meat
1611,26-02-2015,yogurt
1225,26-02-2015,whole milk
1554,21-05-2015,tropical fruit
4624,27-11-2015,sliced cheese
3337,10-06-2015,whole milk
2265,25-09-2015,soft cheese
4999,24-01-2015,other vegetables
4102,03-11-2015,newspapers
3853,04-07-2015,tropical fruit
2265,13-06-2015,white bread
2452,11-08-2015,butter milk
2829,19-12-2015,chewing gum
3926,20-08-2015,white bread
3960,21-10-2015,processed cheese
3980,16-09-2015,root vegetables
1116,29-01-2015,liquor
2663,21-10-2015,semi-finished bread
2164,24-11-2015,whole milk
3950,12-05-2015,bottled water
1252,13-04-2015,pot plants
4804,27-12-2015,butter
4041,07-09-2015,yogurt
1894,04-08-2015,whole milk
4977,20-08-2015,soft cheese
2171,03-09-2015,soft cheese
3417,15-12-2015,sugar
1175,10-06-2015,shopping bags
4946,17-02-2015,dog food
4662,27-06-2015,rolls/buns
2869,10-12-2015,root vegetables
4053,22-03-2015,chicken
4574,30-11-2015,margarine
1110,15-11-2015,butter
4700,04-03-2015,whole milk
2565,29-04-2015,pip fruit
2468,13-03-2015,rolls/buns
4836,13-11-2015,sliced cheese
3504,22-09-2015,white wine
1333,03-04-2015,canned beer
4039,27-12-2015,other vegetables
2077,15-05-2015,butter
3519,13-12-2015,root vegetables
2989,30-01-2015,herbs
3737,05-05-2015,pot plants
3558,19-09-2015,whole milk
3036,13-07-2015,root vegetables
3180,03-07-2015,margarine
2978,09-05-2015,beverages
3985,23-10-2015,cling film/bags
4903,08-12-2015,curd
2835,09-10-2015,onions
3783,22-06-2015,beverages
1486,14-12-2015,onions
4589,08-10-2015,whole milk
1132,19-02-2015,other vegetables
4827,27-11-2015,brown bread
3361,28-06-2015,oil
4681,11-09-2015,white bread
4197,26-10-2015,pet care
3701,22-01-2015,white bread
4195,01-10-2015,root vegetables
3429,01-04-2015,hard cheese
2430,20-01-2015,root vegetables
4330,08-04-2015,domestic eggs
1783,18-03-2015,hamburger meat
4025,04-11-2015,citrus fruit
3399,19-07-2015,yogurt
4766,03-01-2015,newspapers
3562,13-08-2015,whole milk
2447,21-01-2015,pot plants
1396,22-07-2015,coffee
4633,26-04-2015,bottled water
4695,05-01-2015,soda
1706,14-08-2015,waffles
3872,23-11-2015,grapes
1444,14-10-2015,root vegetables
4753,08-11-2015,beef
4580,29-11-2015,whole milk
2516,03-04-2015,whole milk
2415,08-08-2015,turkey
3925,25-03-2015,root vegetables
4996,24-11-2015,bottled water
4569,27-07-2015,pip fruit
3509,11-04-2015,tropical fruit
2252,08-10-2015,curd
1634,09-02-2015,yogurt
4112,27-04-2015,popcorn
4042,08-08-2015,salty snack
4473,26-06-2015,cat food
3878,30-04-2015,butter
2266,30-09-2015,yogurt
3304,30-11-2015,other vegetables
3757,04-02-2015,mustard
3440,21-12-2015,pip fruit
4328,04-02-2015,salty snack
3737,06-12-2015,packaged fruit/vegetables
3948,15-06-2015,whole milk
3682,05-03-2015,frozen fish
2827,31-10-2015,domestic eggs
2650,05-10-2015,other vegetables
1360,16-12-2015,whole milk
3679,23-12-2015,curd
4137,07-03-2015,tea
4235,19-12-2015,soda
3193,31-01-2015,tropical fruit
1332,02-12-2015,bottled water
4821,28-11-2015,rolls/buns
1837,09-07-2015,pot plants
3665,23-09-2015,butter milk
2659,08-05-2015,domestic eggs
1322,09-01-2015,chewing gum
1599,29-05-2015,pot plants
2933,06-04-2015,herbs
3963,21-02-2015,liquor (appetizer)
4178,03-06-2015,yogurt
1052,27-10-2015,yogurt
4693,18-08-2015,butter
1329,02-02-2015,detergent
3128,13-06-2015,rolls/buns
1175,30-06-2015,beef
2211,31-03-2015,dessert
2093,12-06-2015,pastry
4284,14-10-2015,red/blush wine
4449,30-03-2015,coffee
4269,01-04-2015,citrus fruit
1962,05-04-2015,tropical fruit
2250,04-10-2015,other vegetables
1743,13-11-2015,white bread
1583,28-07-2015,pastry
4295,26-10-2015,fruit/vegetable juice
1183,29-06-2015,butter
2729,21-03-2015,bottled water
4035,03-08-2015,frozen vegetables
1608,06-08-2015,shopping bags
1793,03-07-2015,newspapers
2210,09-07-2015,whole milk
1885,03-07-2015,butter milk
1078,28-10-2015,white bread
1016,30-09-2015,oil
3077,29-05-2015,pastry
3551,01-05-2015,packaged fruit/vegetables
1158,17-10-2015,butter
2443,20-06-2015,soda
1395,15-01-2015,beverages
2454,10-11-2015,whole milk
3472,30-04-2015,whipped/sour cream
3547,28-11-2015,domestic eggs
1038,21-02-2015,butter
3915,11-09-2015,canned fruit
2719,19-04-2015,berries
2234,23-12-2015,waffles
1565,14-12-2015,tea
1328,24-03-2015,shopping bags
3398,18-01-2015,citrus fruit
3687,12-02-2015,herbs
1572,23-05-2015,other vegetables
3460,24-11-2015,frozen vegetables
2352,05-05-2015,pastry
4816,31-07-2015,other vegetables
1152,19-07-2015,domestic eggs
1120,11-06-2015,specialty bar
4258,18-07-2015,chocolate
4336,10-09-2015,soda
1395,25-08-2015,salty snack
3581,24-09-2015,baking powder
1762,01-07-2015,bottled beer
2659,08-12-2015,brown bread
4120,17-01-2015,roll products 
2420,08-03-2015,shopping bags
2816,30-09-2015,root vegetables
1711,26-02-2015,whole milk
2884,28-12-2015,dessert
4153,13-06-2015,fruit/vegetable juice
2184,11-05-2015,curd
4381,30-09-2015,other vegetables
2920,27-03-2015,packaged fruit/vegetables
3967,21-01-2015,root vegetables
3135,13-03-2015,specialty bar
3459,05-08-2015,sugar
2868,09-01-2015,semi-finished bread
2989,06-01-2015,pip fruit
1440,06-09-2015,shopping bags
2796,19-05-2015,dessert
1074,16-10-2015,flower (seeds)
2565,28-09-2015,frozen dessert
1197,16-01-2015,chocolate
1971,16-08-2015,fruit/vegetable juice
3327,26-03-2015,bottled water
1168,06-03-2015,frozen vegetables
2814,18-09-2015,specialty bar
3298,26-05-2015,whole milk
3728,12-11-2015,frozen potato products
2116,29-08-2015,yogurt
1139,19-01-2015,misc. beverages
2463,26-12-2015,soda
2978,27-06-2015,hygiene articles
4525,07-10-2015,hygiene articles
1213,14-09-2015,bottled beer
4332,24-11-2015,processed cheese
1729,15-12-2015,pet care
1695,04-02-2015,rolls/buns
3503,29-11-2015,pip fruit
3686,06-01-2015,whole milk
4264,11-05-2015,popcorn
1545,28-02-2015,white wine
3195,08-07-2015,hygiene articles
1409,17-02-2015,whole milk
2800,21-06-2015,brown bread
4453,27-07-2015,soda
4820,18-01-2015,chocolate
3716,08-10-2015,cake bar
3270,15-05-2015,bottled water
3410,16-01-2015,spread cheese
3651,16-10-2015,newspapers
2049,06-01-2015,grapes
3507,27-08-2015,frozen meals
3184,20-11-2015,fruit/vegetable juice
2648,29-01-2015,root vegetables
1566,24-02-2015,soda
4105,05-02-2015,whipped/sour cream
3537,25-01-2015,yogurt
2300,05-08-2015,long life bakery product
3794,04-01-2015,other vegetables
3756,11-07-2015,packaged fruit/vegetables
4197,06-02-2015,house keeping products
4661,10-05-2015,salty snack
3738,30-12-2015,flour
4567,02-10-2015,root vegetables
2831,06-01-2015,frozen dessert
4841,09-06-2015,fruit/vegetable juice
1776,15-04-2015,canned beer
1364,31-07-2015,whipped/sour cream
1926,16-10-2015,whole milk
3496,22-09-2015,soda
1498,28-10-2015,whole milk
4436,23-12-2015,hygiene articles
4098,06-02-2015,whole milk
4707,11-02-2015,root vegetables
4358,11-06-2015,chewing gum
3290,29-05-2015,soda
1940,04-06-2015,rolls/buns
3363,18-08-2015,other vegetables
1782,01-08-2015,napkins
2756,23-11-2015,curd
4379,01-10-2015,sugar
4686,08-10-2015,other vegetables
1230,06-04-2015,other vegetables
2918,19-07-2015,bathroom cleaner
4604,09-12-2015,margarine
4489,19-11-2015,curd
4408,20-04-2015,butter
1846,28-05-2015,bottled beer
1658,15-06-2015,butter
3046,09-01-2015,whole milk
4528,13-10-2015,yogurt
1132,22-09-2015,whole milk
2386,05-12-2015,sugar
4741,08-09-2015,finished products
3971,19-10-2015,rolls/buns
3029,14-02-2015,shopping bags
2758,06-02-2015,curd
3969,05-03-2015,rolls/buns
2829,29-10-2015,candles
4573,23-12-2015,rolls/buns
4726,08-07-2015,chicken
3929,06-11-2015,spread cheese
1286,10-07-2015,coffee
1648,01-05-2015,pastry
1544,25-02-2015,salty snack
2925,16-03-2015,yogurt
1276,23-11-2015,hard cheese
1908,26-07-2015,butter
2519,30-05-2015,whipped/sour cream
3096,07-07-2015,soups
1001,02-05-2015,curd
4699,29-03-2015,curd
1417,18-09-2015,salty snack
4034,29-08-2015,whole milk
4711,19-06-2015,whole milk
3584,17-12-2015,whole milk
2981,03-12-2015,whole milk
1820,21-03-2015,brown bread
3793,15-04-2015,whole milk
1965,04-08-2015,other vegetables
4903,01-05-2015,fruit/vegetable juice
1845,11-02-2015,margarine
2384,02-01-2015,tropical fruit
2584,25-04-2015,soap
1193,12-11-2015,root vegetables
4267,06-09-2015,whole milk
2707,05-05-2015,whole milk
3214,08-05-2015,yogurt
1171,15-01-2015,beverages
1950,11-11-2015,whole milk
4737,19-09-2015,root vegetables
3589,04-11-2015,yogurt
2246,29-08-2015,berries
2128,10-08-2015,soda
3866,21-04-2015,bottled water
1882,09-07-2015,root vegetables
2574,25-08-2015,seasonal products
2011,22-12-2015,other vegetables
4223,20-07-2015,other vegetables
2068,07-04-2015,rolls/buns
3035,09-05-2015,candles
2597,08-05-2015,napkins
1306,08-01-2015,frozen vegetables
1789,24-04-2015,male cosmetics
1003,10-02-2015,rolls/buns
3378,13-01-2015,canned beer
4460,01-05-2015,sliced cheese
1961,21-06-2015,dish cleaner
4576,18-06-2015,grapes
3061,10-02-2015,berries
1016,19-07-2015,red/blush wine
3528,19-05-2015,rolls/buns
4566,10-03-2015,butter
1979,20-11-2015,frozen meals
3662,03-12-2015,whole milk
2700,13-05-2015,yogurt
2432,12-12-2015,condensed milk
2693,17-08-2015,yogurt
1456,20-11-2015,domestic eggs
4081,20-10-2015,rolls/buns
4588,30-06-2015,bottled beer
1892,08-03-2015,specialty bar
1922,07-02-2015,pip fruit
1440,06-12-2015,tropical fruit
1420,19-06-2015,hygiene articles
2273,21-10-2015,other vegetables
4910,25-11-2015,pastry
4593,04-08-2015,rolls/buns
1380,21-11-2015,soda
4035,26-07-2015,frozen dessert
3063,28-12-2015,root vegetables
2558,12-08-2015,rolls/buns
1744,27-06-2015,soda
3162,06-06-2015,bottled water
3216,12-02-2015,newspapers
4783,27-01-2015,yogurt
2592,25-09-2015,bottled beer
3141,19-07-2015,rolls/buns
2315,20-12-2015,other vegetables
3318,12-01-2015,cat food
4594,02-05-2015,meat spreads
2428,14-08-2015,white wine
4613,17-05-2015,fruit/vegetable juice
1676,11-10-2015,fruit/vegetable juice
1259,21-11-2015,sliced cheese
3930,12-07-2015,yogurt
3995,26-06-2015,pip fruit
1038,14-12-2015,butter
4794,06-09-2015,soda
3960,21-09-2015,whole milk
3077,05-01-2015,vinegar
1161,14-03-2015,whole milk
1800,16-04-2015,brown bread
1717,09-11-2015,other vegetables
1888,06-06-2015,sliced cheese
2138,04-03-2015,root vegetables
1866,13-02-2015,bottled water
4745,29-09-2015,canned fish
1269,12-09-2015,whole milk
4721,15-06-2015,rum
2885,22-03-2015,nut snack
1435,24-04-2015,hard cheese
1887,03-02-2015,citrus fruit
4776,26-03-2015,pip fruit
4313,16-05-2015,seasonal products
3545,28-08-2015,berries
2307,12-03-2015,root vegetables
1215,18-01-2015,semi-finished bread
1428,18-01-2015,whole milk
4297,27-10-2015,butter milk
1812,14-10-2015,yogurt
2217,02-12-2015,domestic eggs
2378,15-04-2015,pastry
2397,23-06-2015,newspapers
3419,20-08-2015,soap
